rating	churn
4.29562	4
4.29562	654
4.29348	2
4.2967	21572
4.2872	80
4.28723	1320
4.28621	69
4.29193	164
4.28746	604
4.28746	571
4.29179	584
4.33668	1095
4.3414	32
4.28205	1013
4.2963	1046
4.307	61
4.32075	361
4.19086	1108
4.19551	68
4.17449	262
4.12538	1499
4.11559	16
4.11693	473
4.11676	358
4.10398	4256
4.11321	41
4.09236	400
4.08762	322
