rating	churn
4.09433	10401
4.09784	24
4.0946	72
4.09079	407
4.05601	1016
4.05562	129
4.06483	111
4.09037	364
4.11424	974
4.1187	5
4.12794	338
4.13849	240
4.14016	82
4.14373	163
4.15024	52
4.15856	92
4.1637	45
4.17663	7948
4.1791	651
4.1799	4039
4.197	1161
4.2028	202
4.2043	55
4.20505	24
4.21935	31
4.22182	21
4.22714	205
4.2373	353
4.24204	73994
4.24213	16830
4.24185	33
