rating	devs
4.09433	8
4.09784	2
4.0946	1
4.09079	2
4.05601	2
4.05562	1
4.06483	1
4.09037	3
4.11424	2
4.1187	1
4.12794	1
4.13849	1
4.14016	1
4.14373	1
4.15024	2
4.15856	2
4.1637	1
4.17663	2
4.1791	1
4.1799	1
4.197	1
4.2028	2
4.2043	3
4.20505	3
4.21935	4
4.22182	1
4.22714	1
4.2373	1
4.24204	1
4.24213	1
4.24185	1
